Car_ID,Brand,Model,Year,Age ,Mileage(km),Fuel_Type,Transmission,Owner,Location,Market_Price(INR)
1,Hyundai,i10,2013,12,69196,Diesel,Manual,3rd Owner,Pune,280368
2,Maruti,Swift,2007,18,62314,Diesel,Manual,3rd Owner,Bangalore,465019
3,Volkswagen,Taigun,2005,20,46853,Electric,Automatic,2nd Owner,Delhi,228120
4,Toyota,Innova,2007,18,104595,Petrol,Automatic,2nd Owner,Nagpur,319515
5,Renault,Kiger,2008,17,104230,Petrol,Automatic,3rd Owner,Nagpur,454442
6,Hyundai,i10,2012,13,80861,Petrol,Manual,1st Owner,Kolkata,564413
7,Toyota,Glanza,2016,9,98132,Diesel,Automatic,3rd Owner,Pune,501230
8,Mahindra,Scorpio,2019,6,104471,CNG,Manual,3rd Owner,Chennai,275566
9,Maruti,WagonR,2017,8,75186,Petrol,Manual,3rd Owner,Chennai,680191
10,Ford,Endeavour,2009,16,74436,Diesel,Manual,3rd Owner,Jaipur,434732
11,Ford,Freestyle,2017,8,99895,Diesel,Manual,3rd Owner,Ahmedabad,361091
12,Hyundai,i20,2010,15,115666,Petrol,Automatic,2nd Owner,Nagpur,684431
13,Kia,Seltos,2008,17,145763,CNG,Automatic,1st Owner,Hyderabad,437955
14,Maruti,WagonR,2021,4,51832,Petrol,Automatic,3rd Owner,Jaipur,759704
15,Tata,Punch,2021,4,5149,CNG,Automatic,1st Owner,Pune,1585137
16,Honda,Amaze,2006,19,68143,Petrol,Manual,3rd Owner,Ahmedabad,122705
17,Kia,Sonet,2009,16,129592,Diesel,Automatic,3rd Owner,Nagpur,590143
18,Kia,Sonet,2014,11,109593,CNG,Automatic,3rd Owner,Ahmedabad,314533
19,Hyundai,Creta,2005,20,65323,Diesel,Manual,1st Owner,Mumbai,192221
20,Maruti,WagonR,2007,18,139782,Diesel,Automatic,3rd Owner,Ahmedabad,233510
21,Volkswagen,Virtus,2012,13,128987,Electric,Manual,1st Owner,Pune,711628
22,Ford,Endeavour,2006,19,30799,Petrol,Automatic,3rd Owner,Chennai,151503
23,Mahindra,XUV700,2019,6,41747,Electric,Manual,2nd Owner,Ahmedabad,971653
24,Hyundai,Venue,2022,3,30666,Petrol,Manual,1st Owner,Bangalore,768059
25,Renault,Duster,2017,8,20370,Diesel,Automatic,1st Owner,Kolkata,964456
26,Renault,Triber,2018,7,132577,Diesel,Manual,2nd Owner,Bangalore,266205
27,Kia,Seltos,2015,10,19985,Petrol,Automatic,3rd Owner,Jaipur,477889
28,Kia,Seltos,2010,15,22962,Petrol,Manual,2nd Owner,Pune,497244
29,Maruti,Celerio,2007,18,114897,CNG,Automatic,1st Owner,Chennai,257165
30,Tata,Tiago,2019,6,87883,Petrol,Manual,2nd Owner,Nagpur,383507
31,Mahindra,XUV700,2013,12,39722,CNG,Manual,1st Owner,Chennai,644502
32,Kia,Carens,2021,4,7050,CNG,Manual,1st Owner,Hyderabad,655371
33,Kia,Sonet,2013,12,78860,Diesel,Automatic,1st Owner,Hyderabad,1035574
34,Maruti,Swift,2018,7,77530,Petrol,Manual,2nd Owner,Delhi,764968
35,Renault,Kiger,2018,7,7534,Petrol,Manual,3rd Owner,Delhi,303484
36,Volkswagen,Vento,2018,7,38409,Petrol,Automatic,2nd Owner,Mumbai,1096236
37,Mahindra,Bolero,2016,9,111529,Diesel,Manual,1st Owner,Delhi,890647
38,Toyota,Etios,2012,13,74941,Diesel,Manual,2nd Owner,Mumbai,857222
39,Renault,Triber,2014,11,64662,Diesel,Manual,3rd Owner,Bangalore,904602
40,Hyundai,Creta,2016,9,138537,Electric,Automatic,1st Owner,Pune,582555
41,Honda,City,2008,17,118918,CNG,Automatic,2nd Owner,Nagpur,539234
42,Volkswagen,Vento,2013,12,16635,Electric,Manual,3rd Owner,Jaipur,526423
43,Hyundai,Creta,2015,10,37669,CNG,Automatic,3rd Owner,Kolkata,880199
44,Honda,Civic,2009,16,55289,Electric,Automatic,3rd Owner,Delhi,475122
45,Maruti,WagonR,2014,11,60098,Electric,Automatic,2nd Owner,Ahmedabad,1073313
46,Kia,Carnival,2010,15,27228,CNG,Automatic,1st Owner,Bangalore,554664
47,Mahindra,Scorpio,2005,20,17114,Diesel,Automatic,3rd Owner,Pune,410103
48,Volkswagen,Vento,2017,8,134598,Electric,Manual,1st Owner,Mumbai,365690
49,Mahindra,Scorpio,2021,4,126778,Petrol,Manual,1st Owner,Ahmedabad,538007
50,Kia,Carens,2019,6,137324,Electric,Automatic,1st Owner,Ahmedabad,1121703
51,Mahindra,Thar,2021,4,132034,Diesel,Automatic,2nd Owner,Pune,847848
52,Toyota,Fortuner,2022,3,26122,Diesel,Manual,1st Owner,Kolkata,773717
53,Hyundai,Venue,2018,7,91738,Electric,Automatic,1st Owner,Bangalore,1156823
54,Volkswagen,Polo,2023,2,104714,Electric,Manual,2nd Owner,Hyderabad,1468488
55,Ford,Freestyle,2022,3,62812,Electric,Manual,2nd Owner,Kolkata,1593927
56,Toyota,Etios,2010,15,127523,Diesel,Manual,2nd Owner,Nagpur,99350
57,Ford,Ecosport,2019,6,52639,Petrol,Automatic,2nd Owner,Chennai,766659
58,Toyota,Etios,2013,12,115510,CNG,Manual,2nd Owner,Mumbai,206052
59,Toyota,Glanza,2007,18,15553,Petrol,Manual,1st Owner,Mumbai,228600
60,Renault,Kwid,2023,2,62138,Electric,Automatic,2nd Owner,Delhi,621139
61,Tata,Tiago,2008,17,11731,CNG,Automatic,2nd Owner,Bangalore,181004
62,Mahindra,Bolero,2014,11,36733,Petrol,Automatic,3rd Owner,Kolkata,855464
63,Toyota,Innova,2018,7,133503,Petrol,Automatic,2nd Owner,Ahmedabad,464523
64,Kia,Carens,2022,3,131745,Electric,Automatic,3rd Owner,Nagpur,859963
65,Mahindra,Bolero,2013,12,123175,Diesel,Automatic,3rd Owner,Nagpur,697344
66,Renault,Triber,2010,15,132808,Diesel,Automatic,2nd Owner,Chennai,449798
67,Honda,Civic,2005,20,140430,Diesel,Manual,1st Owner,Kolkata,334344
68,Mahindra,XUV500,2020,5,122486,Petrol,Manual,2nd Owner,Bangalore,1220627
69,Honda,Civic,2016,9,129062,CNG,Automatic,3rd Owner,Jaipur,754414
70,Renault,Triber,2014,11,70903,Diesel,Manual,3rd Owner,Bangalore,698668
71,Kia,Sonet,2011,14,61723,Electric,Automatic,3rd Owner,Nagpur,963408
72,Hyundai,i20,2014,11,64633,CNG,Manual,2nd Owner,Mumbai,1123620
73,Maruti,Swift,2022,3,81581,Diesel,Automatic,1st Owner,Mumbai,1055857
74,Renault,Triber,2010,15,18468,CNG,Automatic,1st Owner,Pune,742522
75,Volkswagen,Polo,2009,16,44111,CNG,Manual,1st Owner,Pune,668950
76,Volkswagen,Vento,2021,4,104713,Electric,Automatic,2nd Owner,Nagpur,1307511
77,Volkswagen,Polo,2008,17,59470,Diesel,Automatic,3rd Owner,Pune,242880
78,Kia,Seltos,2010,15,5701,Electric,Automatic,3rd Owner,Nagpur,841587
79,Mahindra,Thar,2014,11,124021,Petrol,Manual,2nd Owner,Nagpur,447856
80,Kia,Sonet,2009,16,74633,Diesel,Manual,1st Owner,Delhi,480680
81,Volkswagen,Taigun,2019,6,37598,Electric,Automatic,3rd Owner,Kolkata,978378
82,Renault,Captur,2007,18,15449,Electric,Automatic,3rd Owner,Hyderabad,89323
83,Volkswagen,Polo,2013,12,15546,Diesel,Automatic,3rd Owner,Ahmedabad,668297
84,Volkswagen,Virtus,2020,5,28918,Electric,Automatic,2nd Owner,Chennai,1244366
85,Tata,Tiago,2018,7,134884,CNG,Automatic,3rd Owner,Mumbai,1040972
86,Honda,Jazz,2008,17,110952,Petrol,Automatic,2nd Owner,Mumbai,259100
87,Volkswagen,Virtus,2019,6,18529,Diesel,Automatic,3rd Owner,Delhi,1053869
88,Renault,Kwid,2005,20,67730,Diesel,Automatic,3rd Owner,Mumbai,311523
89,Hyundai,Venue,2008,17,45362,Electric,Automatic,3rd Owner,Hyderabad,618625
90,Renault,Duster,2019,6,149510,Diesel,Automatic,1st Owner,Nagpur,1331348
